dataset,column,dtype,n_rows,n_missing,missing_frac,mean,std
academic_individual_position,rics_k200,string,1720304610,461907913,0.268503560540944,,
academic_individual_position,rics_k400,string,1720304610,461907913,0.268503560540944,,
academic_individual_position,ultimate_parent_factset_id,string,1720304610,723909751,0.4208032384450798,,
academic_individual_position,ultimate_parent_factset_name,string,1720304610,724093685,0.42091015788186487,,
academic_individual_position,total_compensation,float32,1720304610,252482,0.00014676586840048055,66212.27229798003,103771.33523495455
academic_individual_position,additional_compensation,float32,1720304610,252482,0.00014676586840048055,16819.355228694556,70075.97616545482
academic_individual_position,title_translated,string,1720304610,1602102,0.0009312897208361257,,
academic_individual_user,user_id,int64,618161168,0,0.0,889528198.7496427,759637336.6790403
academic_individual_user,firstname,string,618161168,1636782,0.0026478240380185124,,
academic_individual_user,lastname,string,618161168,19522237,0.031581144223540095,,
academic_individual_user,fullname,string,618161168,121168,0.00019601360660040685,,
academic_individual_user,f_prob,float64,618161168,0,0.0,0.45460706062520007,0.42563509347075296
academic_individual_user,m_prob,float64,618161168,0,0.0,0.5453929393747999,0.42563509347075296
academic_individual_user,white_prob,float64,618161168,0,0.0,0.48283980863711523,0.4206830159807956
academic_individual_user,black_prob,float64,618161168,0,0.0,0.09537203129402992,0.2161411255433561
academic_individual_user,api_prob,float64,618161168,0,0.0,0.2488714271166249,0.3961523850347835
academic_individual_user,hispanic_prob,float64,618161168,0,0.0,0.1401024215053336,0.29978715977090964
academic_individual_user,native_prob,float64,618161168,0,0.0,0.005676055737206772,0.02279621522881633
academic_individual_user,multiple_prob,float64,618161168,0,0.0,0.027138255709689554,0.07372952328866103
academic_individual_user,prestige,float64,618161168,0,0.0,0.12118603433615395,0.401604841935574
academic_individual_user,highest_degree,string,618161168,0,0.0,,
academic_individual_user,sex_predicted,string,618161168,0,0.0,,
academic_individual_user,ethnicity_predicted,string,618161168,92232,0.00014920380763872246,,
academic_individual_user,profile_linkedin_url,string,618161168,0,0.0,,
academic_individual_user,user_location,string,618161168,2303447,0.0037262887402852844,,
academic_individual_user,user_country,string,618161168,0,0.0,,
academic_individual_user,profile_title,string,618161168,37316772,0.06036738302526308,,
academic_individual_user,updated_dt,date32[day][pyarrow],618161168,0,0.0,,
academic_individual_user,numconnections,int32,618161168,88836929,0.14371159755541293,112.68833230212229,167.45442423060516
academic_individual_user,profile_summary,string,618161168,174366344,0.28207262608252354,,
academic_individual_user_education,user_id,int64,635641154,0,0.0,746072430.9026674,683411962.9925637
academic_individual_user_education,university_raw,string,635641154,202512,0.0003185948529695105,,
academic_individual_user_education,university_name,string,635641154,164208580,0.2583353500110221,,
academic_individual_user_education,rsid,int32,635641154,163236053,0.2568053562497937,126947.85335045948,79180.00847319486
academic_individual_user_education,education_number,int32,635641154,0,0.0,1.9282385844387917,2.2402785828347977
academic_individual_user_education,startdate,date32[day][pyarrow],635641154,102386150,0.16107539506480728,,
academic_individual_user_education,enddate,date32[day][pyarrow],635641154,117446272,0.1847682002037269,,
academic_individual_user_education,degree,string,635641154,0,0.0,,
academic_individual_user_education,field,string,635641154,0,0.0,,
academic_individual_user_education,degree_raw,string,635641154,119831939,0.18852136656966675,,
academic_individual_user_education,field_raw,string,635641154,167681819,0.2637995006220129,,
academic_individual_user_education,university_country,string,635641154,178278023,0.2804696043956902,,
academic_individual_user_education,university_location,string,635641154,230819964,0.36312935773192556,,
academic_individual_user_education,ultimate_parent_school_name,string,635641154,164208580,0.2583353500110221,,
academic_individual_user_education,ultimate_parent_rsid,int32,635641154,164208580,0.2583353500110221,127107.12274255788,78149.54326800304
academic_individual_user_education,description,string,635641154,531816647,0.8366617605756849,,
academic_individual_user_skill,user_id,int64,7152322703,0,0.0,613786273.8011959,585893781.1208433
academic_individual_user_skill,skill_raw,string,7152322703,0,0.0,,
academic_individual_user_skill,skill_source,string,7152322703,0,0.0,,
academic_individual_user_skill,skill_mapped,string,7152322703,0,0.0,,
